FileID,CrashSeverity,County,CrashDate,PrimaryStreet,Distance,Direction,Weather,NumberOfFatalities,NumberOfInjured,CrashType,FirstVehicleType,FirstVehicleDirection,FirstDriverAge,FirstVehicleLane,FirstVehicleAction,FirstDriverCondition,SecondVehicleType,SecondVehicleDirection,SecondDriverAge,SecondVehicleLane,SecondVehicleAction,SecondDriverCondition,RoadCondition,Lighting,AgencyName,PedestrianInvolved
18,PROPERTY DAMAGE ONLY,CLARK,1/1/16,ECHELON POINT DR,15,E,CLEAR,0,0,REAR-END,"HATCHBACK, 4 DOOR",E,49,0,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,Unspecified,Unspecified,0,PARKED,Unspecified,DRY,DAYLIGHT,LVMPD,NO
48,INJURY CRASH,CLARK,1/1/16,GRAND CANYON DR,0,AT INT,CLEAR,0,1,NON-COLLISION,"SEDAN, 4 DOOR",N,22,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - NO LIGHTING,LVMPD,NO
55,PROPERTY DAMAGE ONLY,CLARK,1/1/16,SKY POINTE DR,195,E,CLEAR,0,0,NON-COLLISION,"SEDAN, 2 DOOR",E,22,1,NOT REPORTED,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
78,PROPERTY DAMAGE ONLY,CLARK,1/1/16,CC215S,500,W,CLEAR,0,0,NON-COLLISION,SEDAN,W,Unspecified,0,UNKNOWN,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,WET,DARK - SPOT LIGHTING,NHP,NO
89,PROPERTY DAMAGE ONLY,CLARK,1/1/16,US95N,0,AT INT,CLEAR,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,27,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - NO LIGHTING,NHP,NO
11,PROPERTY DAMAGE ONLY,CLARK,1/1/16,CALICO VISTA BLVD,87,E,CLEAR,0,0,NON-COLLISION,"SEDAN, 4 DOOR",W,Unspecified,1,GOING STRAIGHT,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAWN,LVMPD,NO
6,PROPERTY DAMAGE ONLY,CLARK,1/1/16,GASS AVE,16,W,CLEAR,0,0,ANGLE,"SEDAN, 2 DOOR",E,26,1,TURNING RIGHT,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,BUS,E,48,1,TURNING RIGHT,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
12,INJURY CRASH,CLARK,1/1/16,MARYLAND PKWY,120,S,CLEAR,0,1,NON-COLLISION,Unspecified,S,Unspecified,3,GOING STRAIGHT,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAYLIGHT,LVMPD,YES
14,PROPERTY DAMAGE ONLY,CLARK,1/1/16,STEWART AVE,237,E,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",E,34,2,GOING STRAIGHT,HAD BEEN DRINKING,"SEDAN, 4 DOOR",Unspecified,Unspecified,2,PARKED,Unspecified,DRY,DAYLIGHT,LVMPD,NO
21,PROPERTY DAMAGE ONLY,CLARK,1/1/16,E BONANZA RD,150,W,CLEAR,0,0,ANGLE,CARRY-ALL,S,55,1,GOING STRAIGHT,Unspecified,"SEDAN, 4 DOOR",W,25,1,TURNING LEFT,HAD BEEN DRINKING,DRY,DAYLIGHT,LVMPD,NO
24,PROPERTY DAMAGE ONLY,CLARK,1/1/16,EASTERN AVE,150,N,CLEAR,0,0,NON-COLLISION,CARRY-ALL,E,Unspecified,0,TURNING LEFT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,Unspecified,Unspecified,LVMPD,NO
33,INJURY CRASH,CLARK,1/1/16,IR15N,1000,N,CLEAR,0,1,REAR-END,"SEDAN, 4 DOOR",N,23,4,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,N,22,4,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
36,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N TO SR159E INT41,2,S,CLEAR,0,0,REAR-END,PICKUP,N,26,0,GOING STRAIGHT,APPARENTLY NORMAL,CONVERTIBLE,N,49,0,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
37,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,300,N,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",N,22,1,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,N,43,1,STOPPED,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
39,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,1200,S,CLEAR,0,0,REAR-END,UTILITY,N,46,4,GOING STRAIGHT,APPARENTLY NORMAL,UTILITY,N,21,4,STOPPED,APPARENTLY NORMAL,WET,DARK - SPOT LIGHTING,NHP,NO
40,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,950,N,CLEAR,0,0,REAR-END,"HATCHBACK, 2 DOOR",N,25,0,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,N,24,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
46,INJURY CRASH,CLARK,1/1/16,LEHMAN ST,0,AT INT,CLEAR,0,2,ANGLE,"SEDAN, 4 DOOR",S,21,0,GOING STRAIGHT,HAD BEEN DRINKING,"SEDAN, 4 DOOR",S,23,0,TURNING LEFT,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
58,INJURY CRASH,CLARK,1/1/16,EASTERN AVE,800,N,CLEAR,0,1,NON-COLLISION,CARRY-ALL,S,24,1,NOT REPORTED,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAYLIGHT,LVMPD,NO
65,PROPERTY DAMAGE ONLY,CLARK,1/1/16,LAS VEGAS BLVD,103,N,CLEAR,0,0,ANGLE,VAN,S,38,1,CHANGING LANES,APPARENTLY NORMAL,PICKUP,S,16,1,GOING STRAIGHT,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
83,PROPERTY DAMAGE ONLY,CLARK,1/1/16,US95N,645,E,RAIN,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,20,0,NOT REPORTED,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,WET,DARK - SPOT LIGHTING,NHP,NO
93,INJURY CRASH,CLARK,1/1/16,OWENS AVE,0,AT INT,CLEAR,0,1,ANGLE,PICKUP,W,25,1,BACKING UP,APPARENTLY NORMAL,UTILITY,W,23,1,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,DARK - SPOT LIGHTING,NLPD,NO
29,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,600,S,CLEAR,0,0,NON-COLLISION,"HATCHBACK, 4 DOOR",N,20,0,NOT REPORTED,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
35,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15S,600,N,CLEAR,0,0,"SIDESWIPE, OVERTAKING",Unspecified,S,Unspecified,2,CHANGING LANES,Unspecified,"SEDAN, 4 DOOR",S,22,2,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
38,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,600,N,CLEAR,0,0,REAR-END,"HARDTOP, 4 DOOR",N,22,0,GOING STRAIGHT,APPARENTLY NORMAL,"HARDTOP, 4 DOOR",N,27,5,STOPPED,APPARENTLY NORMAL,WET,DARK - SPOT LIGHTING,NHP,NO
45,INJURY CRASH,CLARK,1/1/16,S TORREY PINES DR,10,N,CLEAR,0,1,NON-COLLISION,"SEDAN, 4 DOOR",N,36,0,GOING STRAIGHT,INATTENTION/DISTRACTED: DRUG INVOLVEMENT,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,LVMPD,NO
75,PROPERTY DAMAGE ONLY,CLARK,1/1/16,DECATUR BLVD N/S TO US95S INT79,1500,E,CLEAR,0,0,NON-COLLISION,UTILITY,S,27,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
76,PROPERTY DAMAGE ONLY,CLARK,1/1/16,US95S,330,E,CLEAR,0,0,ANGLE,"SEDAN, 4 DOOR",S,23,1,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,23,1,STOPPED,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
81,INJURY CRASH,CLARK,1/1/16,DECATUR BLVD N/S TO US95S INT79,500,E,CLEAR,0,4,REAR-END,"SEDAN, 4 DOOR",S,31,2,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,66,2,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
15,PROPERTY DAMAGE ONLY,CLARK,1/1/16,W ALEXANDER RD,38,W,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",E,23,1,GOING STRAIGHT,HAD BEEN DRINKING,"HATCHBACK, 4 DOOR",E,36,1,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,LVMPD,NO
52,PROPERTY DAMAGE ONLY,CLARK,1/1/16,SR599,67,S,CLEAR,0,0,REAR-END,"HARDTOP, 4 DOOR",N,24,2,GOING STRAIGHT,HAD BEEN DRINKING,PICKUP,N,35,2,STOPPED,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
74,PROPERTY DAMAGE ONLY,CLARK,1/1/16,LAS VEGAS BLVD,20,S,CLEAR,0,0,UNKNOWN,"SEDAN, 4 DOOR",N,38,0,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,N,35,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
86,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,200,N,CLEAR,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,22,0,NOT REPORTED,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAYLIGHT,NHP,NO
87,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15N,30,N,CLEAR,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,24,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAYLIGHT,NHP,NO
88,PROPERTY DAMAGE ONLY,CLARK,1/1/16,IR15S,100,N,CLEAR,0,0,"SIDESWIPE, MEETING","SEDAN, 4 DOOR",S,22,0,CHANGING LANES,APPARENTLY NORMAL,CARRY-ALL,S,62,5,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
92,INJURY CRASH,CLARK,1/1/16,IR15S,100,S,CLOUDY,0,2,REAR-END,PICKUP,S,Unspecified,0,GOING STRAIGHT,Unspecified,"SEDAN, 4 DOOR",S,53,5,STOPPED,APPARENTLY NORMAL,DRY,DUSK,NHP,NO
94,INJURY CRASH,CLARK,1/1/16,RAINBOW BLVD TO US95N INT82,60,N,CLEAR,0,1,NON-COLLISION,PICKUP,N,24,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAWN,NHP,NO
70,INJURY CRASH,CLARK,1/1/16,US95N,1000,S,CLEAR,0,1,ANGLE,"SEDAN, 4 DOOR",N,35,0,NOT REPORTED,HAD BEEN DRINKING,UTILITY,N,42,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
51,INJURY CRASH,CLARK,1/1/16,W TROPICAL PKWY,0,AT INT,CLEAR,0,1,ANGLE,PICKUP,W,31,0,GOING STRAIGHT,Unspecified,"SEDAN, 2 DOOR",S,18,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - NO LIGHTING,LVMPD,NO
138,PROPERTY DAMAGE ONLY,CLARK,1/2/16,FORT APACHE RD,5,N,CLEAR,0,0,REAR-END,Unspecified,S,Unspecified,0,GOING STRAIGHT,Unspecified,CARRY-ALL,S,40,0,STOPPED,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
141,INJURY CRASH,CLARK,1/2/16,SR159,0,AT INT,CLEAR,0,1,ANGLE,CARRY-ALL,E,41,0,TURNING LEFT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",W,46,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
165,INJURY CRASH,CLARK,1/2/16,FAR HILLS AVE E TO CC215N,100,N,CLEAR,0,1,NON-COLLISION,CARRY-ALL,N,39,0,NOT REPORTED,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
